Entity,Code,Day,Total confirmed cases of COVID-19 per million people,Week Number,Cumulative,Weekly new cases
United States,USA,2021/1/4,60013.81,2021-W2,60013.81,
United States,USA,2021/1/5,60615.383,2021-W2,,
United States,USA,2021/1/6,61125.77,2021-W2,,
United States,USA,2021/1/7,61835.63,2021-W2,,
United States,USA,2021/1/8,62590.312,2021-W2,,
United States,USA,2021/1/9,63380.176,2021-W2,,
United States,USA,2021/1/10,64235.45,2021-W2,64235.45,4221.64
United States,USA,2021/1/11,64985.867,2021-W3,,
United States,USA,2021/1/12,65643.15,2021-W3,,
United States,USA,2021/1/13,66240.81,2021-W3,,
United States,USA,2021/1/14,66878.45,2021-W3,,
United States,USA,2021/1/15,67541.28,2021-W3,,
United States,USA,2021/1/16,68195.92,2021-W3,,
United States,USA,2021/1/17,68890.78,2021-W3,68890.78,4655.33
United States,USA,2021/1/18,69504.22,2021-W4,,0
United States,USA,2021/1/19,70050.53,2021-W4,,0
United States,USA,2021/1/20,70502.04,2021-W4,,0
United States,USA,2021/1/21,70941.914,2021-W4,,0
United States,USA,2021/1/22,71493.15,2021-W4,,0
United States,USA,2021/1/23,72042.57,2021-W4,,0
United States,USA,2021/1/24,72597.18,2021-W4,72597.18,3706.4
United States,USA,2021/1/25,73081.79,2021-W5,,0
United States,USA,2021/1/26,73496.26,2021-W5,,0
United States,USA,2021/1/27,73893.266,2021-W5,,0
United States,USA,2021/1/28,74320.58,2021-W5,,0
United States,USA,2021/1/29,74786.02,2021-W5,,0
United States,USA,2021/1/30,75245.195,2021-W5,,0
United States,USA,2021/1/31,75726.08,2021-W5,75726.08,3128.9
United States,USA,2021/2/1,76132.55,2021-W6,,0
United States,USA,2021/2/2,76460.3,2021-W6,,0
United States,USA,2021/2/3,76838.13,2021-W6,,0
United States,USA,2021/2/4,77193.38,2021-W6,,0
United States,USA,2021/2/5,77511.56,2021-W6,,0
United States,USA,2021/2/6,77870.586,2021-W6,,0
United States,USA,2021/2/7,78236.08,2021-W6,78236.08,2510
United States,USA,2021/2/8,78558.68,2021-W7,,0
United States,USA,2021/2/9,78830.78,2021-W7,,0
United States,USA,2021/2/10,79067.14,2021-W7,,0
United States,USA,2021/2/11,79334.805,2021-W7,,0
United States,USA,2021/2/12,79622.74,2021-W7,,0
United States,USA,2021/2/13,79914.21,2021-W7,,0
United States,USA,2021/2/14,80199.484,2021-W7,80199.484,1963.404
United States,USA,2021/2/15,80449.01,2021-W8,,0
United States,USA,2021/2/16,80646.39,2021-W8,,0
United States,USA,2021/2/17,80816.41,2021-W8,,0
United States,USA,2021/2/18,80982.93,2021-W8,,0
United States,USA,2021/2/19,81169.64,2021-W8,,0
United States,USA,2021/2/20,81370.41,2021-W8,,0
United States,USA,2021/2/21,81585.836,2021-W8,81585.836,1386.352
United States,USA,2021/2/22,81777.65,2021-W9,,0
United States,USA,2021/2/23,81943.45,2021-W9,,0
United States,USA,2021/2/24,82106.89,2021-W9,,0
United States,USA,2021/2/25,82312.33,2021-W9,,0
United States,USA,2021/2/26,82524.19,2021-W9,,0
United States,USA,2021/2/27,82734.99,2021-W9,,0
United States,USA,2021/2/28,82949.54,2021-W9,82949.54,1363.704
United States,USA,2021/3/1,83149.516,2021-W10,,0
United States,USA,2021/3/2,83303.44,2021-W10,,0
United States,USA,2021/3/3,83453.09,2021-W10,,0
United States,USA,2021/3/4,83610.51,2021-W10,,0
United States,USA,2021/3/5,83803.875,2021-W10,,0
